c = 70, sigma = 0.001, train.rain.acc = 0.711409, train.dry.acc = 0.811224,train.acc = 0.783734, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 71, sigma = 0.001, train.rain.acc = 0.711409, train.dry.acc = 0.811224,train.acc = 0.783734, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 72, sigma = 0.001, train.rain.acc = 0.711409, train.dry.acc = 0.811224,train.acc = 0.783734, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 73, sigma = 0.001, train.rain.acc = 0.711409, train.dry.acc = 0.811224,train.acc = 0.783734, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 74, sigma = 0.001, train.rain.acc = 0.711409, train.dry.acc = 0.811224,train.acc = 0.783734, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 75, sigma = 0.001, train.rain.acc = 0.710438, train.dry.acc = 0.810191,train.acc = 0.782810, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 76, sigma = 0.001, train.rain.acc = 0.711409, train.dry.acc = 0.811224,train.acc = 0.783734, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 77, sigma = 0.001, train.rain.acc = 0.712375, train.dry.acc = 0.812261,train.acc = 0.784658, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 78, sigma = 0.001, train.rain.acc = 0.707641, train.dry.acc = 0.811780,train.acc = 0.782810, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 79, sigma = 0.001, train.rain.acc = 0.707641, train.dry.acc = 0.811780,train.acc = 0.782810, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 80, sigma = 0.001, train.rain.acc = 0.706667, train.dry.acc = 0.810742,train.acc = 0.781885, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 81, sigma = 0.001, train.rain.acc = 0.706667, train.dry.acc = 0.810742,train.acc = 0.781885, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 82, sigma = 0.001, train.rain.acc = 0.706667, train.dry.acc = 0.810742,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 83, sigma = 0.001, train.rain.acc = 0.706667, train.dry.acc = 0.810742,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 84, sigma = 0.001, train.rain.acc = 0.705686, train.dry.acc = 0.809706,train.acc = 0.780961, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 85, sigma = 0.001, train.rain.acc = 0.703333, train.dry.acc = 0.809463,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 86, sigma = 0.001, train.rain.acc = 0.703333, train.dry.acc = 0.809463,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 87, sigma = 0.001, train.rain.acc = 0.703333, train.dry.acc = 0.809463,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 88, sigma = 0.001, train.rain.acc = 0.700997, train.dry.acc = 0.809219,train.acc = 0.779113, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 89, sigma = 0.001, train.rain.acc = 0.700997, train.dry.acc = 0.809219,train.acc = 0.779113, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 90, sigma = 0.001, train.rain.acc = 0.700997, train.dry.acc = 0.809219,train.acc = 0.779113, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 91, sigma = 0.001, train.rain.acc = 0.700997, train.dry.acc = 0.809219,train.acc = 0.779113, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 92, sigma = 0.001, train.rain.acc = 0.700997, train.dry.acc = 0.809219,train.acc = 0.779113, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 93, sigma = 0.001, train.rain.acc = 0.700997, train.dry.acc = 0.809219,train.acc = 0.779113, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 94, sigma = 0.001, train.rain.acc = 0.700997, train.dry.acc = 0.809219,train.acc = 0.779113, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 95, sigma = 0.001, train.rain.acc = 0.699670, train.dry.acc = 0.810013,train.acc = 0.779113, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 96, sigma = 0.001, train.rain.acc = 0.700658, train.dry.acc = 0.811054,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 97, sigma = 0.001, train.rain.acc = 0.700658, train.dry.acc = 0.811054,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 98, sigma = 0.001, train.rain.acc = 0.700658, train.dry.acc = 0.811054,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 99, sigma = 0.001, train.rain.acc = 0.700658, train.dry.acc = 0.811054,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 100, sigma = 0.001, train.rain.acc = 0.700658, train.dry.acc = 0.811054,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 101, sigma = 0.001, train.rain.acc = 0.700658, train.dry.acc = 0.811054,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 102, sigma = 0.001, train.rain.acc = 0.700658, train.dry.acc = 0.811054,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 103, sigma = 0.001, train.rain.acc = 0.700658, train.dry.acc = 0.811054,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 104, sigma = 0.001, train.rain.acc = 0.700658, train.dry.acc = 0.811054,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 105, sigma = 0.001, train.rain.acc = 0.700658, train.dry.acc = 0.811054,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 106, sigma = 0.001, train.rain.acc = 0.700658, train.dry.acc = 0.811054,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 107, sigma = 0.001, train.rain.acc = 0.702970, train.dry.acc = 0.811297,train.acc = 0.780961, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 108, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 109, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 110, sigma = 0.001, train.rain.acc = 0.702970, train.dry.acc = 0.811297,train.acc = 0.780961, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 111, sigma = 0.001, train.rain.acc = 0.702970, train.dry.acc = 0.811297,train.acc = 0.780961, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 112, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 113, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 114, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 115, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 116, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 117, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 118, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 119, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 120, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 121, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 122, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 123, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 124, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 125, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 126, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 127, sigma = 0.001, train.rain.acc = 0.699346, train.dry.acc = 0.811856,train.acc = 0.780037, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 128, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 129, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 130, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 131, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 132, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 133, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 134, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 135, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 136, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.750000, test.dry.acc = 0.833898, test.acc = 0.811414
c = 137, sigma = 0.001, train.rain.acc = 0.703947, train.dry.acc = 0.812339,train.acc = 0.781885, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 138, sigma = 0.001, train.rain.acc = 0.699346, train.dry.acc = 0.811856,train.acc = 0.780037, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 139, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
c = 140, sigma = 0.001, train.rain.acc = 0.701639, train.dry.acc = 0.812098,train.acc = 0.780961, test.rain.acc = 0.757009, test.dry.acc = 0.834459, test.acc = 0.813896
