c = 1, sigma = 0.058, train.acc = 0.732351, test.acc = 0.727592, train.high.acc = 0.877778, train.medium.acc = 0.624828, train.low.acc = 0.741726, test.high.acc = 0.803922, test.medium.acc = 0.574713, test.low.acc = 0.741808
c = 1, sigma = 0.059, train.acc = 0.732739, test.acc = 0.727944, train.high.acc = 0.877778, train.medium.acc = 0.626027, train.low.acc = 0.742117, test.high.acc = 0.807692, test.medium.acc = 0.576923, test.low.acc = 0.741808
c = 1, sigma = 0.06, train.acc = 0.732997, test.acc = 0.728295, train.high.acc = 0.877778, train.medium.acc = 0.627747, train.low.acc = 0.742192, test.high.acc = 0.807692, test.medium.acc = 0.578544, test.low.acc = 0.742101
c = 1, sigma = 0.061, train.acc = 0.733385, test.acc = 0.728295, train.high.acc = 0.877778, train.medium.acc = 0.629630, train.low.acc = 0.742444, test.high.acc = 0.807692, test.medium.acc = 0.577947, test.low.acc = 0.742292
c = 1, sigma = 0.062, train.acc = 0.733256, test.acc = 0.728295, train.high.acc = 0.877778, train.medium.acc = 0.629986, train.low.acc = 0.742229, test.high.acc = 0.811321, test.medium.acc = 0.577947, test.low.acc = 0.742191
c = 1, sigma = 0.063, train.acc = 0.733644, test.acc = 0.728647, train.high.acc = 0.877778, train.medium.acc = 0.631868, train.low.acc = 0.742481, test.high.acc = 0.814815, test.medium.acc = 0.580153, test.low.acc = 0.742191
c = 1, sigma = 0.064, train.acc = 0.733902, test.acc = 0.729350, train.high.acc = 0.877778, train.medium.acc = 0.632373, train.low.acc = 0.742733, test.high.acc = 0.818182, test.medium.acc = 0.583969, test.low.acc = 0.742484
c = 1, sigma = 0.065, train.acc = 0.734290, test.acc = 0.729350, train.high.acc = 0.877778, train.medium.acc = 0.633015, train.low.acc = 0.743163, test.high.acc = 0.818182, test.medium.acc = 0.581132, test.low.acc = 0.742970
c = 1, sigma = 0.066, train.acc = 0.734419, test.acc = 0.729350, train.high.acc = 0.877778, train.medium.acc = 0.632653, train.low.acc = 0.743378, test.high.acc = 0.818182, test.medium.acc = 0.581132, test.low.acc = 0.742970
c = 1, sigma = 0.067, train.acc = 0.734161, test.acc = 0.730404, train.high.acc = 0.877778, train.medium.acc = 0.630582, train.low.acc = 0.743374, test.high.acc = 0.818182, test.medium.acc = 0.585821, test.low.acc = 0.743854
c = 1, sigma = 0.068, train.acc = 0.734419, test.acc = 0.730756, train.high.acc = 0.877778, train.medium.acc = 0.631579, train.low.acc = 0.743590, test.high.acc = 0.818182, test.medium.acc = 0.587361, test.low.acc = 0.744149
c = 1, sigma = 0.069, train.acc = 0.735195, test.acc = 0.730756, train.high.acc = 0.877778, train.medium.acc = 0.636364, train.low.acc = 0.743883, test.high.acc = 0.818182, test.medium.acc = 0.587361, test.low.acc = 0.744149
